Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,16:16:47.469154,16:16:49.370584,-1,1.0
5,16:16:47.469154,16:16:49.523261,-1,1.0
5,16:16:47.469154,16:16:49.645285,-1,1.0
5,16:16:47.469154,16:16:49.794542,-1,1.0
5,16:16:47.469154,16:16:49.945217,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,16:16:49.947440,16:16:50.083779,-1,1.0
6,16:16:49.947440,16:16:50.273113,-1,1.0
6,16:16:49.947440,16:16:50.405438,-1,1.0
6,16:16:49.947440,16:16:50.558438,-1,1.0
6,16:16:49.947440,16:16:50.723239,-1,1.0
6,16:16:49.947440,16:16:50.880231,-1,1.0
6,16:16:49.947440,16:16:51.017815,-1,1.0
6,16:16:49.947440,16:16:51.195739,-1,1.0
6,16:16:49.947440,16:16:51.341346,-1,1.0
6,16:16:49.947440,16:16:51.521903,-1,1.0
6,16:16:49.947440,16:16:51.635298,-1,1.0
6,16:16:49.947440,16:16:51.800701,-1,1.0
6,16:16:49.947440,16:16:51.946253,-1,1.0
6,16:16:49.947440,16:16:52.099351,-1,1.0
6,16:16:49.947440,16:16:52.244589,-1,1.0
6,16:16:49.947440,16:16:52.400988,-1,1.0
6,16:16:49.947440,16:16:52.547446,-1,1.0
6,16:16:49.947440,16:16:52.683149,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
